Animal ID,Name,DateTime,MonthYear,Date of Birth,Outcome Type,Outcome Subtype,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color
A769669,,04/12/2018 5:32:00 PM,Apr 2018,04/08/2016,Transfer,Snr,Cat,Intact Male,2 years,Domestic Longhair Mix,Cream Tabby
A639030,Cate,06/15/2014 1:18:00 PM,Jun 2014,10/08/2005,Return to Owner,,Dog,Spayed Female,8 years,German Shepherd Mix,Tan
A854997,,04/12/2022 1:22:00 PM,Apr 2022,04/12/2020,Transfer,Partner,Dog,Intact Female,2 years,German Shepherd Mix,Black
A846023,,11/08/2021 6:15:00 PM,Nov 2021,10/21/2021,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair,Blue Tabby
A812889,Tutti,02/01/2020 1:23:00 PM,Feb 2020,10/15/2019,Adoption,,Cat,Intact Female,3 months,Domestic Longhair,Black/White
A749777,,06/06/2017 5:17:00 PM,Jun 2017,04/10/2017,Adoption,Foster,Dog,Spayed Female,1 month,Australian Shepherd Mix,Blue Merle
A847243,Agent,12/03/2021 4:24:00 PM,Dec 2021,06/29/2021,Adoption,,Dog,Neutered Male,5 months,Catahoula,Yellow Brindle/White
A737963,,11/07/2016 5:12:00 PM,Nov 2016,09/07/2016,Transfer,Partner,Dog,Intact Female,1 month,Pit Bull Mix,White/Gray
A794634,Diamond,07/11/2019 4:09:00 PM,Jul 2019,04/10/2019,Adoption,,Cat,Spayed Female,3 months,Siamese,Lynx Point
A703672,*Chillon,04/13/2016 12:00:00 AM,Apr 2016,04/01/2015,Transfer,Partner,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Brown Tabby
A715807,*Franz,01/15/2016 4:59:00 PM,Jan 2016,08/10/2015,Adoption,,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Black
A827315,Atticus,01/27/2021 1:11:00 PM,Jan 2021,12/18/2011,Adoption,Foster,Dog,Neutered Male,9 years,Labrador Retriever,Chocolate
A793307,,04/24/2019 4:24:00 PM,Apr 2019,01/23/2019,Adoption,,Cat,Spayed Female,2 months,Siamese Mix,Lynx Point/White
A805212,Turtle,10/22/2019 5:19:00 PM,Oct 2019,11/24/2018,Adoption,,Cat,Spayed Female,10 months,Domestic Shorthair,Tortie
A855631,Queso,05/14/2022 5:56:00 PM,May 2022,04/21/2020,Adoption,,Cat,Spayed Female,2 years,Domestic Longhair,Orange Tabby
A737367,*Charlie,10/31/2016 6:50:00 PM,Oct 2016,10/26/2015,Adoption,,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Tricolor
A749609,*Emmy Lou,07/21/2017 10:12:00 AM,Jul 2017,05/16/2017,Adoption,Foster,Dog,Spayed Female,2 months,Labrador Retriever Mix,Black/Brown
A686100,,08/20/2014 5:17:00 PM,Aug 2014,06/16/2014,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico
A754990,,07/30/2017 6:14:00 PM,Jul 2017,05/27/2017,Adoption,,Dog,Neutered Male,2 months,German Shepherd/Labrador Retriever,Tan/Black
A801848,*Kit,09/26/2019 7:07:00 PM,Sep 2019,07/10/2019,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair,Orange Tabby
A650142,Koda,01/22/2014 5:00:00 PM,Jan 2014,03/24/2011,Return to Owner,,Dog,Neutered Male,2 years,Chow Chow Mix,Brown/White
A832511,*Theodosia,05/25/2021 12:13:00 PM,May 2021,04/14/2019,Adoption,,Cat,Spayed Female,2 years,Siamese Mix,Chocolate Point
A754540,*Lily,12/20/2017 7:31:00 AM,Dec 2017,09/18/2010,Adoption,Foster,Dog,Spayed Female,7 years,Labrador Retriever Mix,Yellow
A818385,,06/08/2020 3:29:00 PM,Jun 2020,03/17/2020,Return to Owner,,Cat,Intact Male,2 months,Domestic Shorthair,Blue Smoke
A848012,Zeus,12/16/2021 4:34:00 PM,Dec 2021,12/13/2014,Transfer,Out State,Dog,Neutered Male,7 years,Chihuahua Shorthair Mix,Tricolor
A800657,,08/03/2019 8:36:00 AM,Aug 2019,07/22/2019,Transfer,Partner,Dog,Unknown,1 weeks,Labrador Retriever,Tricolor
A735484,Homie,11/19/2016 4:18:00 PM,Nov 2016,09/24/2015,Adoption,,Dog,Neutered Male,1 year,Labrador Retriever/Australian Kelpie,Chocolate/White
A732882,,08/14/2016 1:43:00 PM,Aug 2016,08/14/2014,Euthanasia,Suffering,Cat,Intact Female,2 years,Domestic Shorthair Mix,Brown Tabby
A763291,Bluebell,12/13/2017 4:40:00 PM,Dec 2017,12/06/2016,Adoption,,Dog,Spayed Female,1 year,American Staffordshire Terrier Mix,Brown Brindle/White
A793667,Lucas,05/03/2019 11:34:00 AM,May 2019,04/28/2017,Return to Owner,,Dog,Neutered Male,2 years,Miniature Poodle Mix,White
A813293,,02/13/2020 5:24:00 PM,Feb 2020,02/13/2014,Adoption,,Dog,Spayed Female,6 years,Beagle,White/Brown
A754241,,07/17/2017 6:10:00 PM,Jul 2017,07/17/2015,Euthanasia,Rabies Risk,Other,Unknown,2 years,Raccoon Mix,Gray/Black
A747283,Charlie,04/22/2017 5:45:00 PM,Apr 2017,04/17/2015,Adoption,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Tan/White
A709676,*Wendall,08/19/2015 3:45:00 PM,Aug 2015,08/12/2014,Adoption,,Dog,Neutered Male,1 year,Miniature Pinscher Mix,Chocolate/Tan
A847605,Pepe,12/05/2021 4:56:00 PM,Dec 2021,12/05/2019,Return to Owner,,Dog,Intact Male,2 years,Doberman Pinsch,Black
A695365,Monster,01/17/2015 5:31:00 PM,Jan 2015,01/14/2014,Return to Owner,,Dog,Neutered Male,1 year,Chihuahua Shorthair,Tan/Black
A692259,*Simon,12/06/2014 5:02:00 PM,Dec 2014,11/17/2002,Adoption,,Dog,Neutered Male,12 years,Miniature Schnauzer Mix,Black/Brown Brindle
A678468,,05/16/2014 11:58:00 AM,May 2014,05/09/2012,Transfer,Partner,Dog,Neutered Male,2 years,Chihuahua Shorthair/Rat Terrier,Tricolor
A685507,,08/08/2014 6:20:00 PM,Aug 2014,07/17/2014,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby/White
A741704,Samson,01/07/2017 12:04:00 PM,Jan 2017,01/06/2015,Return to Owner,,Dog,Intact Male,2 years,Golden Retriever Mix,Yellow
A844646,Negro,10/19/2021 12:18:00 PM,Oct 2021,10/19/2018,Return to Owner,,Dog,Intact Male,3 years,Great Dane,Black/White
A665319,Oberon,10/22/2013 5:09:00 PM,Oct 2013,10/16/2012,Adoption,,Dog,Neutered Male,1 year,Anatol Shepherd Mix,Tan/White
A686271,,08/23/2014 6:45:00 PM,Aug 2014,08/19/2013,Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair/Pug,Brown
A678167,Leah,05/12/2014 2:38:00 PM,May 2014,05/05/2013,Transfer,Partner,Dog,Spayed Female,1 year,German Shepherd Mix,Black/Tan
A785672,Simba,02/09/2019 6:20:00 PM,Feb 2019,02/07/2018,Adoption,,Dog,Neutered Male,1 year,Boxer Mix,Brown/White
A857610,*Maple,06/25/2022 12:38:00 PM,Jun 2022,04/18/2022,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Longhair,Black
A668128,Bonnie,12/21/2013 6:42:00 PM,Dec 2013,11/27/2011,Adoption,,Dog,Spayed Female,2 years,Pit Bull Mix,Blue/White
A725680,Casper,05/11/2016 3:50:00 PM,May 2016,08/03/2015,Return to Owner,,Dog,Neutered Male,9 months,Pit Bull Mix,White/Tan
A725680,Casper,09/01/2016 10:13:00 PM,Sep 2016,08/03/2015,Return to Owner,,Dog,Neutered Male,1 year,Pit Bull Mix,White/Tan
A668325,Beau,12/06/2013 1:55:00 PM,Dec 2013,08/02/2013,Transfer,Partner,Dog,Intact Male,4 months,Greyhound,Tan/White
A813099,,02/08/2020 10:58:00 AM,Feb 2020,02/04/2019,Transfer,Snr,Cat,Intact Female,1 year,Domestic Medium Hair,Lynx Point
A840119,*Josie,08/16/2021 5:38:00 PM,Aug 2021,08/02/2019,Adoption,,Dog,Spayed Female,2 years,German Shepherd Mix,Black/Brown
A692842,Caramel,12/04/2014 12:33:00 PM,Dec 2014,04/26/2014,Transfer,Partner,Cat,Spayed Female,7 months,Domestic Shorthair Mix,Orange Tabby
A817291,*Sunny,08/08/2020 8:43:00 AM,Aug 2020,04/19/2020,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair,Brown Tabby
A676453,,04/11/2014 12:55:00 PM,Apr 2014,09/10/2013,Transfer,SCRP,Cat,Unknown,7 months,Domestic Shorthair Mix,Black/White
A778049,*Davey,08/18/2018 2:46:00 PM,Aug 2018,02/07/2018,Adoption,,Cat,Neutered Male,6 months,Domestic Shorthair Mix,Brown Tabby
A777801,Nino,08/07/2018 12:00:00 AM,Aug 2018,08/03/2013,Transfer,Partner,Dog,Intact Male,5 years,Chihuahua Longhair Mix,Brown
A840449,,08/08/2021 3:30:00 PM,Aug 2021,07/25/2021,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair,Brown Tabby
A700785,,04/19/2015 7:06:00 PM,Apr 2015,03/28/2015,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
A808826,Coco,11/18/2019 6:34:00 PM,Nov 2019,08/14/2019,Adoption,,Dog,Neutered Male,3 months,Collie Smooth Mix,Tricolor
A731795,Negro,08/06/2016 9:42:00 PM,Aug 2016,11/15/2015,Return to Owner,,Dog,Intact Male,8 months,Doberman Pinsch,Black/Tan
A705519,Sheos,06/20/2015 2:39:00 PM,Jun 2015,06/18/2014,Return to Owner,,Dog,Neutered Male,1 year,German Shepherd/Chow Chow,Brown/Tan
A823793,,10/23/2020 12:48:00 PM,Oct 2020,08/04/2020,Transfer,Partner,Cat,Spayed Female,2 months,Domestic Shorthair,Orange Tabby
A645112,Sherlock,10/27/2016 3:24:00 PM,Oct 2016,01/03/2003,Transfer,Partner,Cat,Neutered Male,13 years,Domestic Shorthair Mix,Silver Tabby
A843687,A843687,10/12/2021 5:49:00 PM,Oct 2021,07/05/2021,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair,Gray Tabby
A715038,*Melvin,11/09/2015 12:38:00 PM,Nov 2015,10/31/2008,Transfer,Partner,Dog,Intact Male,7 years,Rat Terrier Mix,White/Black
A805358,Ashanti,09/27/2019 5:44:00 PM,Sep 2019,07/10/2019,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair,Calico
A489503,Dezi,09/21/2014 4:26:00 PM,Sep 2014,05/15/2007,Euthanasia,Suffering,Cat,Spayed Female,7 years,Domestic Shorthair Mix,White/Brown Tabby
A782959,,10/24/2018 3:26:00 PM,Oct 2018,10/23/2006,Transfer,Partner,Dog,Intact Female,12 years,Chihuahua Shorthair Mix,White/Tan
A819251,,08/04/2020 2:42:00 PM,Aug 2020,04/28/2020,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Longhair Mix,Torbie
A732077,,08/01/2016 10:25:00 PM,Aug 2016,07/15/2016,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Orange Tabby
A715052,Freddie,11/14/2015 2:40:00 PM,Nov 2015,10/30/2013,Return to Owner,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Tan/White
A791765,,06/22/2019 8:38:00 AM,Jun 2019,03/30/2019,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby
A740494,,12/18/2016 12:34:00 PM,Dec 2016,12/12/2016,Transfer,Partner,Dog,Intact Male,6 days,Labrador Retriever/Pit Bull,Brown Brindle
A794072,,05/03/2019 5:18:00 PM,May 2019,05/02/2019,Transfer,Partner,Cat,Unknown,1 day,Domestic Shorthair Mix,Black
A818535,,06/11/2020 12:00:00 AM,Jun 2020,06/10/2008,Transfer,Partner,Cat,Intact Male,12 years,Domestic Shorthair,Black/White
A671944,,02/01/2014 4:12:00 PM,Feb 2014,09/01/2013,Euthanasia,Suffering,Cat,Intact Female,5 months,Domestic Shorthair Mix,Brown Tabby
A790748,Buzz,05/08/2020 10:43:00 AM,May 2020,03/15/2018,Adoption,Foster,Dog,Neutered Male,2 years,Labrador Retriever Mix,Black
A824403,,10/15/2020 4:37:00 PM,Oct 2020,10/13/2019,Transfer,Snr,Cat,Spayed Female,1 year,Domestic Shorthair,Orange Tabby
A769788,,04/15/2018 6:21:00 PM,Apr 2018,09/10/2016,Adoption,,Dog,Neutered Male,1 year,Norfolk Terrier Mix,Black/Brown
A709539,Athena,09/08/2015 5:54:00 PM,Sep 2015,08/10/2011,Adoption,,Dog,Spayed Female,4 years,Rottweiler,Tricolor
A799938,,08/13/2019 12:57:00 PM,Aug 2019,06/14/2019,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair,Blue/White
A844188,*Dakota,11/01/2021 1:10:00 PM,Nov 2021,10/13/2018,Transfer,Out State,Dog,Intact Female,3 years,German Shepherd Mix,Tan/Black
A668592,,12/09/2013 12:48:00 PM,Dec 2013,12/05/2011,Transfer,Partner,Dog,Intact Female,2 years,Chihuahua Shorthair Mix,Brown/White
A779590,,09/08/2018 4:46:00 PM,Sep 2018,02/03/2018,Adoption,,Dog,Neutered Male,7 months,Cardigan Welsh Corgi/Chihuahua Shorthair,White/Red
A747629,,04/26/2017 6:22:00 PM,Apr 2017,04/22/2016,Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Cream
A750906,Keena,06/08/2017 5:19:00 PM,Jun 2017,06/06/2009,Return to Owner,,Dog,Spayed Female,8 years,Pit Bull Mix,Brown
A665156,Baby Elic,10/19/2013 5:07:00 PM,Oct 2013,12/14/2012,Adoption,,Dog,Spayed Female,10 months,Border Collie Mix,White/Black
A721715,Shadow,03/13/2016 7:11:00 PM,Mar 2016,03/02/2015,Adoption,,Dog,Neutered Male,1 year,German Shepherd Mix,Sable
A677835,*Suzette,07/12/2014 11:41:00 AM,Jul 2014,04/29/2013,Adoption,Foster,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Torbie
A732207,,08/05/2016 9:00:00 AM,Aug 2016,05/04/2016,Transfer,SCRP,Cat,Intact Male,3 months,Domestic Shorthair Mix,Brown Tabby
A800416,*Pup,08/06/2019 1:41:00 PM,Aug 2019,01/20/2019,Adoption,,Dog,Neutered Male,6 months,Labrador Retriever/Pit Bull,Red/White
A749460,*Sweetheart,07/17/2017 4:35:00 PM,Jul 2017,11/15/2015,Adoption,,Cat,Spayed Female,1 year,Domestic Medium Hair Mix,Blue/White
A694967,Jewels,08/09/2019 12:12:00 PM,Aug 2019,01/07/2011,Return to Owner,,Dog,Spayed Female,8 years,Siberian Husky Mix,Sable/Cream
A768874,,04/03/2018 2:30:00 PM,Apr 2018,03/26/2015,Transfer,Partner,Dog,Spayed Female,3 years,Border Collie/Australian Cattle Dog,Brown/White
A817618,Pepper,06/24/2020 10:19:00 AM,Jun 2020,04/13/2020,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,Blue/White
A782816,Prudence,10/21/2018 6:33:00 PM,Oct 2018,03/21/2014,Transfer,Partner,Dog,Intact Female,4 years,Boxer Mix,Brown/White
A680131,Beaux,05/30/2014 2:32:00 PM,May 2014,05/30/2010,Return to Owner,,Dog,Neutered Male,4 years,Labrador Retriever Mix,Black
A765867,,01/29/2018 9:45:00 AM,Jan 2018,01/28/2016,Euthanasia,Rabies Risk,Other,Unknown,2 years,Bat Mix,Black
A756321,*Cardamom,08/25/2017 4:54:00 PM,Aug 2017,08/17/2014,Adoption,,Dog,Spayed Female,3 years,Labrador Retriever Mix,Brown
A738283,Arwen,11/20/2016 7:12:00 PM,Nov 2016,11/12/2015,Return to Owner,,Dog,Spayed Female,1 year,Pit Bull Mix,Black Brindle/White
A748827,,05/08/2017 9:29:00 AM,May 2017,05/01/2017,Transfer,Partner,Cat,Unknown,1 week,Domestic Shorthair Mix,Brown Tabby/White
A691180,*Samson,11/09/2014 2:36:00 PM,Nov 2014,10/31/2010,Transfer,Partner,Dog,Intact Male,4 years,Pit Bull Mix,Black/White
A702260,Bella,05/12/2015 5:51:00 PM,May 2015,05/11/2011,Transfer,Partner,Other,Intact Female,4 years,Guinea Pig Mix,Brown/Orange
A707152,,07/09/2015 1:26:00 PM,Jul 2015,07/08/2014,Transfer,Partner,Other,Unknown,1 year,Rabbit Sh Mix,Black
A685214,Truffles,08/26/2014 5:22:00 PM,Aug 2014,06/27/2014,Adoption,,Cat,Spayed Female,1 month,Domestic Medium Hair Mix,Calico
A664941,Tequila,05/29/2017 4:04:00 PM,May 2017,10/11/2009,Adoption,,Dog,Spayed Female,7 years,Pit Bull Mix,Red/White
A785924,*Peaches,01/29/2019 12:06:00 PM,Jan 2019,12/12/2017,Transfer,Partner,Dog,Intact Female,1 year,Pit Bull Mix,Fawn/White
A678968,,05/14/2014 5:11:00 PM,May 2014,05/05/2014,Transfer,Partner,Cat,Intact Female,1 weeks,Domestic Shorthair Mix,Black
A745937,,03/26/2017 5:37:00 PM,Mar 2017,03/26/2015,Died,In Kennel,Dog,Intact Female,2 years,Miniature Poodle Mix,White
A755439,*Jasper,09/15/2017 3:14:00 PM,Sep 2017,07/21/2017,Adoption,Foster,Cat,Neutered Male,1 month,Domestic Shorthair Mix,Brown Tabby/White
A866622,Polar,10/08/2022 4:13:00 PM,Oct 2022,04/19/2022,Adoption,,Cat,Neutered Male,5 months,Domestic Shorthair,Blue/White
A793848,Deanna,05/02/2019 6:02:00 PM,May 2019,05/01/2017,Return to Owner,,Dog,Intact Female,2 years,Chow Chow Mix,Brown
A777109,Bacon,08/18/2018 9:19:00 AM,Aug 2018,06/23/2017,Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Brown Tabby
A707788,*Max,08/23/2015 4:29:00 PM,Aug 2015,11/21/2014,Adoption,,Dog,Neutered Male,9 months,Labrador Retriever Mix,Red/White
A738454,,11/15/2016 2:33:00 PM,Nov 2016,11/15/2014,Euthanasia,Rabies Risk,Other,Unknown,2 years,Raccoon Mix,Gray/Black
A800873,,08/06/2019 7:58:00 AM,Aug 2019,05/28/2019,Transfer,Partner,Cat,Spayed Female,2 months,Domestic Shorthair,White/Brown Tabby
A855742,Channing,04/30/2022 12:05:00 PM,Apr 2022,01/22/2022,Adoption,,Dog,Neutered Male,3 months,Pit Bull Mix,Black/White
A794777,Rajah,08/22/2021 2:47:00 PM,Aug 2021,05/12/2017,Transfer,Partner,Dog,Neutered Male,4 years,Australian Kelpie Mix,Black Brindle
A734403,Jorgie,10/22/2016 12:31:00 PM,Oct 2016,08/12/2016,Adoption,,Cat,Intact Male,2 months,Domestic Shorthair Mix,Blue Tabby/White
A687373,Bueller,09/06/2014 6:35:00 PM,Sep 2014,09/04/2010,Adoption,,Dog,Neutered Male,4 years,Chihuahua Shorthair Mix,Brown/Black
A861562,*Pandora,07/20/2022 9:15:00 AM,Jul 2022,07/14/2020,Transfer,Out State,Dog,Intact Female,2 years,Chihuahua Shorthair Mix,Black/Tan
A720124,,04/04/2016 5:48:00 PM,Apr 2016,01/31/2016,Adoption,Foster,Dog,Neutered Male,2 months,Australian Cattle Dog,Black/White
A778716,Anastasia,11/24/2018 6:55:00 PM,Nov 2018,07/17/2018,Adoption,,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Brown Tabby
A785679,,12/11/2018 6:15:00 PM,Dec 2018,09/15/2018,Adoption,,Dog,Neutered Male,2 months,Border Terrier Mix,White
A700469,King,04/21/2015 5:52:00 PM,Apr 2015,04/14/2013,Return to Owner,,Dog,Intact Male,2 years,American Staffordshire Terrier Mix,Blue/White
A803559,*Lima Bean,01/02/2020 12:13:00 PM,Jan 2020,09/03/2011,Adoption,Foster,Dog,Spayed Female,8 years,Labrador Retriever/Border Collie,Black/White
A740606,Gachupin,12/20/2016 3:35:00 PM,Dec 2016,04/20/2016,Died,In Kennel,Dog,Intact Male,8 months,Chihuahua Shorthair Mix,Red/White
A682183,Roger Roger,04/13/2015 4:01:00 PM,Apr 2015,06/25/2012,Transfer,Partner,Dog,Neutered Male,2 years,Pit Bull Mix,Blue/White
A678485,Money,05/09/2014 4:16:00 PM,May 2014,05/09/2000,Euthanasia,Suffering,Dog,Intact Male,14 years,Pit Bull Mix,Brown Brindle
A697245,Toto,02/20/2015 7:10:00 PM,Feb 2015,02/20/2012,Return to Owner,,Dog,Intact Male,3 years,Miniature Poodle/Bichon Frise,White/White
A742676,Gorda,02/05/2017 3:59:00 PM,Feb 2017,01/31/2016,Return to Owner,,Dog,Spayed Female,1 year,Basset Hound Mix,White/Tan
A806621,*Boo,10/22/2019 3:17:00 PM,Oct 2019,07/13/2019,Transfer,Partner,Cat,Intact Male,3 months,Domestic Shorthair Mix,Black
A775399,Bean Sprout,07/07/2018 5:03:00 PM,Jul 2018,03/29/2018,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby
A688196,Max,09/16/2014 12:20:00 PM,Sep 2014,09/16/2005,Euthanasia,Suffering,Dog,Neutered Male,9 years,Jack Russell Terrier Mix,Chocolate/White
A786751,,01/25/2019 1:03:00 PM,Jan 2019,11/01/2018,Adoption,,Dog,Neutered Male,2 months,German Shepherd,White
A778316,Blair,08/16/2018 11:40:00 AM,Aug 2018,06/01/2018,Adoption,,Dog,Intact Female,2 months,Australian Shepherd Mix,Tricolor/White
A688334,Chiquita,09/25/2014 5:53:00 PM,Sep 2014,03/18/2012,Adoption,,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Sable/Black
A685023,Herbie,08/04/2014 8:02:00 PM,Aug 2014,08/01/1999,Adoption,,Dog,Intact Male,15 years,Chihuahua Shorthair Mix,Tan
A860346,,07/01/2022 1:02:00 PM,Jul 2022,06/27/2020,Euthanasia,,Other,Unknown,2 years,Bat,Brown
A796408,*Elmer,06/08/2019 4:37:00 PM,Jun 2019,04/22/2019,Died,In Kennel,Cat,Intact Male,1 month,Domestic Shorthair,Blue
A840151,Cara,08/25/2021 5:02:00 PM,Aug 2021,08/03/2019,Return to Owner,,Dog,Spayed Female,2 years,Labrador Retriever Mix,Brown/Black
A803247,*Moxie,09/02/2019 5:12:00 PM,Sep 2019,08/29/2010,Transfer,Partner,Dog,Intact Female,9 years,Chihuahua Shorthair,Black/White
A778694,,08/19/2018 11:06:00 AM,Aug 2018,08/12/2018,Transfer,Partner,Cat,Intact Female,1 week,Domestic Shorthair Mix,Calico
A698681,,03/20/2015 5:24:00 PM,Mar 2015,10/16/2014,Adoption,,Dog,Neutered Male,5 months,Border Terrier Mix,Gray/White
A724744,,04/23/2016 8:45:00 AM,Apr 2016,04/21/2010,Euthanasia,Rabies Risk,Cat,Neutered Male,6 years,Domestic Shorthair Mix,Orange/White
A847842,A847842,12/13/2021 5:45:00 PM,Dec 2021,10/09/2021,Adoption,,Cat,Spayed Female,2 months,Domestic Medium Hair Mix,Brown Tabby
A735996,,10/02/2016 5:37:00 PM,Oct 2016,09/26/2016,Transfer,Partner,Cat,Unknown,6 days,Domestic Medium Hair Mix,Black/White
A717665,Rocky,07/03/2019 8:31:00 AM,Jul 2019,12/12/2007,Adoption,Foster,Dog,Neutered Male,11 years,Boxer/Chinese Sharpei,Brown Brindle/Black
A474506,Amaya,06/29/2021 8:26:00 AM,Jun 2021,06/07/2006,Adoption,Foster,Dog,Spayed Female,15 years,Pit Bull/German Shepherd,Tan
A722917,*Brook,09/30/2016 12:51:00 PM,Sep 2016,03/24/2014,Adoption,Foster,Dog,Spayed Female,2 years,Labrador Retriever Mix,Black/White
A756122,,08/18/2017 7:21:00 PM,Aug 2017,08/14/2016,Adoption,,Dog,Neutered Male,1 year,Dachshund Mix,Brown Tiger/Brown
A738584,*Lydia,12/04/2016 5:10:00 PM,Dec 2016,05/17/2016,Adoption,,Cat,Spayed Female,6 months,Domestic Shorthair Mix,Black/White
A713610,Poppi,10/16/2015 12:00:00 AM,Oct 2015,07/09/2014,Transfer,Partner,Dog,Spayed Female,1 year,Labrador Retriever/Border Collie,Black/White
A731663,*Onyx,09/14/2016 2:13:00 PM,Sep 2016,06/29/2016,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black
A701472,,04/30/2015 12:52:00 PM,Apr 2015,04/11/2015,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Blue Tabby/White
A775647,*Gigi,09/11/2018 1:03:00 PM,Sep 2018,07/02/2018,Adoption,Foster,Dog,Spayed Female,2 months,Cairn Terrier Mix,Tan
A723585,*Pee Wee,09/30/2016 1:16:00 PM,Sep 2016,02/19/2016,Adoption,Foster,Cat,Neutered Male,7 months,Domestic Shorthair Mix,Black
A648168,Rusty,02/04/2016 3:00:00 PM,Feb 2016,03/23/2006,Adoption,Foster,Dog,Neutered Male,9 years,Chihuahua Shorthair Mix,Tan
A850420,Luna,01/28/2022 5:58:00 PM,Jan 2022,11/24/2021,Adoption,,Dog,Spayed Female,2 months,German Shepherd Mix,Tan
A701643,*Chip,09/28/2015 3:03:00 PM,Sep 2015,03/04/2015,Transfer,Partner,Cat,Neutered Male,6 months,Domestic Shorthair Mix,Brown Tabby
A713974,,10/16/2015 12:42:00 PM,Oct 2015,10/01/2015,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Medium Hair Mix,Black
A691198,Peach,11/23/2014 3:19:00 PM,Nov 2014,01/31/2014,Adoption,,Dog,Spayed Female,9 months,Labrador Retriever Mix,Black/White
A747831,Buford,01/25/2018 6:24:00 PM,Jan 2018,04/25/2009,Return to Owner,,Dog,Intact Male,8 years,Labrador Retriever Mix,Chocolate
A679572,*Beau,06/19/2014 6:13:00 PM,Jun 2014,04/23/2014,Adoption,Foster,Cat,Neutered Male,1 month,Domestic Medium Hair Mix,Brown Tabby
A756068,Fluffy,04/14/2019 1:20:00 PM,Apr 2019,03/28/2017,Return to Owner,,Dog,Spayed Female,2 years,Great Pyrenees,White/White
A729694,,07/09/2016 12:35:00 PM,Jul 2016,04/03/2016,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Torbie
A671534,Stella,03/31/2014 6:14:00 PM,Mar 2014,01/26/2013,Adoption,,Cat,Spayed Female,1 year,Snowshoe,Seal Point/White
A754166,Logan,08/05/2017 4:51:00 PM,Aug 2017,07/16/2015,Adoption,,Dog,Neutered Male,2 years,Labrador Retriever Mix,Chocolate/White
A731866,,08/01/2016 5:34:00 PM,Aug 2016,10/28/2015,Adoption,,Dog,Neutered Male,9 months,German Shepherd Mix,Black/Tan
A784959,Uzi,11/24/2018 5:44:00 PM,Nov 2018,11/23/2017,Return to Owner,,Dog,Intact Male,1 year,German Shepherd Mix,Sable/Black
A689215,*Shiela,10/08/2014 4:00:00 PM,Oct 2014,04/15/2014,Transfer,Partner,Dog,Intact Female,5 months,Australian Cattle Dog Mix,Red/White
A701359,,05/04/2015 3:32:00 PM,May 2015,04/28/2015,Transfer,Partner,Dog,Unknown,6 days,English Bulldog Mix,Blue/White
A681352,*Charlotte,07/12/2014 7:46:00 PM,Jul 2014,04/30/2014,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Blue Tabby
A669986,Kimmie,02/24/2014 10:22:00 AM,Feb 2014,12/31/2000,Died,Enroute,Cat,Spayed Female,13 years,Domestic Medium Hair Mix,Brown Tabby
A598005,Paulie,11/18/2016 12:22:00 PM,Nov 2016,01/18/2011,Return to Owner,,Dog,Neutered Male,5 years,Pug/Chihuahua Shorthair,White/Brown Brindle
A731189,,07/19/2016 11:52:00 AM,Jul 2016,07/06/2016,Transfer,Partner,Cat,Unknown,1 weeks,Domestic Shorthair Mix,Brown Tabby/Black
